ranks,links,directors,posters,titles,years,meter_scores,critics,synopses,casts
55,https://www.rottentomatoes.com/m/the_wind_rises,"['Hayao Miyazaki', ' Gary Rydstrom']",https://resizing.flixster.com/KuVf1Fkk6avjK70b4xB-3w2Z4ds=/fit-in/180x240/v2/https://resizing.flixster.com/rdaE-2g8ozNdGIwG8-zcgtRClsk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2Y2ZWFiZTkzLTIzOGUtNGIwNC1iNGZmLWNjMGE1NGUwYzcwZS5qcGc=,The Wind Rises,2013,88%,The Wind Rises is a fittingly bittersweet swan song for director Hayao Miyazaki.,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M... [More]","['Joseph Gordon-Levitt', ' John Krasinski', ' Emily Blunt', ' Martin Short']"
56,https://www.rottentomatoes.com/m/1007931-from_here_to_eternity,['Fred Zinnemann'],https://resizing.flixster.com/-w7deUtNLy2H8dQZgA7y0B_sQqM=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p535_p_v8_aa.jpg,From Here to Eternity,1953,88%,"It has perhaps aged poorly, but this languidly paced WWII romance remains an iconic, well-acted film, featuring particularly strong performances from Burt Lancaster and Montgomery Clift.","At an Army barracks in Hawaii in the days preceding the attack on Pearl Harbor, lone-wolf soldier and boxing champion... [More]","['Burt Lancaster', ' Montgomery Clift', ' Deborah Kerr', ' Frank Sinatra']"
57,https://www.rottentomatoes.com/m/tangerines,['Zaza Urushadze'],https://resizing.flixster.com/p9EyVsgENxkqd-BgGbLktX5zFFo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10750064_p_v8_aa.jpg,Tangerines,2013,88%,Tangerines' impassioned message and the strong work of a solid cast more than make up for the movie's flawed narrative and uneven structure.,"During the war in Abkhazia, an Estonian man stays behind to harvest tangerines and cares for a wounded fighter.... [More]","['Mikheil Meskhi', ' Misha Meskhi', ' Giorgi Nakashidze', ' Elmo Nüganen']"
58,https://www.rottentomatoes.com/m/zero_motivation,['Talya Lavie'],https://resizing.flixster.com/U3RK5IKUNTnTHnunvIBH7UPN9DA=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11060137_p_v8_ac.jpg,Zero Motivation,2014,88%,"Darkly funny and understatedly absurd, Zero Motivation is a refreshing addition to the canon of irreverent war comedies -- and an intriguing calling card for writer-director Talya Lavie.",Female Israeli soldiers are posted to a remote desert base and spend their time pushing paper until they can return... [More],"['Dana Ivgy', ' Nelly Tagar', ' Shani Klein', ' Heli Twito']"
59,https://www.rottentomatoes.com/m/1039575-1039575-midnight_clear,['Keith Gordon'],https://resizing.flixster.com/K6DenR02jI1-pLtOJMPTigOYG54=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13871_p_v7_aa.jpg,A Midnight Clear,1992,88%,"Beautifully filmed and wonderfully acted, A Midnight Clear is a holiday war film in search of a wider audience.","In the winter of 1944, American soldiers led by Will Knott (Ethan Hawke) are assigned to capture a small squad... [More]","['Ethan Hawke', ' Peter Berg', ' Kevin Dillon', ' Arye Gross']"
60,https://www.rottentomatoes.com/m/the_deer_hunter,['Michael Cimino'],https://resizing.flixster.com/F6NhzGnI1UUf0zX9gDz848ACgzk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4367_p_v12_bj.jpg,The Deer Hunter,1978,86%,"Its greatness is blunted by its length and one-sided point of view, but the film's weaknesses are overpowered by Michael Cimino's sympathetic direction and a series of heartbreaking performances from Robert De Niro, Meryl Streep, and Christopher Walken.","In 1968, Michael (Robert De Niro), Nick (Christopher Walken) and Steven (John Savage), lifelong friends from a working-class Pennsylvania steel... [More]","['Robert De Niro', ' Christopher Walken', ' John Savage', ' John Cazale']"
61,https://www.rottentomatoes.com/m/english_patient,['Anthony Minghella'],https://resizing.flixster.com/p7n3GxZLD5Q2hBMnV40IxleQv2k=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18698_p_v13_aj.jpg,The English Patient,1996,86%,"Though it suffers from excessive length and ambition, director Minghella's adaptation of the Michael Ondaatje novel is complex, powerful, and moving.",The sweeping expanses of the Sahara are the setting for a passionate love affair in this adaptation of Michael Ondaatje's... [More],"['Ralph Fiennes', ' Juliette Binoche', ' Willem Dafoe', ' Kristin Scott Thomas']"
62,https://www.rottentomatoes.com/m/courage_under_fire,['Edward Zwick'],https://resizing.flixster.com/OqCda78nCTce_6dglt8A5q_ilUw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18172_p_v8_aa.jpg,Courage Under Fire,1996,86%,An emotional and intriguing tale of a military officer who must review the merits of a fallen officer while confronting his own war demons. Effectively depicts the terrors of war as well as its heartbreaking aftermath.,"During the 1991 Gulf War, Lieutenant Colonel Nathaniel Serling (Denzel Washington) accidentally caused a friendly fire incident, a mistake that... [More]","['Denzel Washington', ' Meg Ryan', ' Lou Diamond Phillips', ' Michael Moriarty']"
63,https://www.rottentomatoes.com/m/born_on_the_fourth_of_july,['Oliver Stone'],https://resizing.flixster.com/fo5z0-LQajy_eCvKix0C6bV_HEk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12039_p_v8_ag.jpg,Born on the Fourth of July,1989,84%,"Led by an unforgettable performance from Tom Cruise, Born on the Fourth of July finds director Oliver Stone tackling thought-provoking subject matter with ambitious élan.","In the mid 1960s, suburban New York teenager Ron Kovic (Tom Cruise) enlists in the Marines, fulfilling what he sees... [More]","['Tom Cruise', ' Willem Dafoe', ' Kyra Sedgwick', ' Raymond J. Barry']"
64,https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world,['Peter Weir'],https://resizing.flixster.com/cS9-bHLi4HIduvtGXUpf0Jz97Ts=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p31335_p_v8_ab.jpg,Master and Commander: The Far Side of the World,2003,85%,Russell Crowe's rough charm is put to good use in this masterful adaptation of Patrick O'Brian's novel.,"In 1805, aboard the H.M.S. Surprise, the brash Captain Jack Aubrey (Russell Crowe) and his trusted friend, the ship's scholarly... [More]","['Russell Crowe', ' Paul Bettany', ' Billy Boyd', "" James D'Arcy""]"
65,https://www.rottentomatoes.com/m/hacksaw_ridge,['Mel Gibson'],https://resizing.flixster.com/2k5odPugUgd28UTaskHSfi6zAXI=/fit-in/180x240/v2/https://resizing.flixster.com/fqHoVM9U_V4nCyJ2011Tjmrw-Bk=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzM3MGVkZTFlLTZmNWMtNDgwYS04NjFlLTg3OWE3OWU5MDk2YS53ZWJw,Hacksaw Ridge,2016,84%,"Hacksaw Ridge uses a real-life pacifist's legacy to lay the groundwork for a gripping wartime tribute to faith, valor, and the courage of remaining true to one's convictions.","The true story of Pfc. Desmond T. Doss (Andrew Garfield), who won the Congressional Medal of Honor despite refusing to... [More]","['Andrew Garfield', ' Sam Worthington', ' Luke Bracey', ' Teresa Palmer']"
66,https://www.rottentomatoes.com/m/mash,['Robert Altman'],https://resizing.flixster.com/uIBFL26Y6h9IZtZJIDS135UP1uw=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p1987_p_v8_ad.jpg,M*A*S*H,1970,84%,"Bold, timely, subversive, and above all funny, M*A*S*H remains a high point in Robert Altman's distinguished filmography.","Based on the novel by Richard Hooker, ""M*A*S*H"" follows a group of Mobile Army Surgical Hospital officers at they perform... [More]","['Donald Sutherland', ' Elliott Gould', ' Sally Kellerman', ' Tom Skerritt']"
67,https://www.rottentomatoes.com/m/1006037-doctor_zhivago,['David Lean'],https://resizing.flixster.com/t4dyeMNxOLBcp1w-hVONJV-On_E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p378_p_v8_af.jpg,Doctor Zhivago,1965,82%,"It may not be the best of David Lean's epics, but Dr. Zhivago is still brilliantly photographed and sweepingly romantic.","During the Russian Revolution, Yuri Zhivago (Omar Sharif), is a young doctor who has been raised by his aunt and... [More]","['Omar Sharif', ' Julie Christie', ' Geraldine Chaplin', ' Tom Courtenay']"
68,https://www.rottentomatoes.com/m/operation_mincemeat,['John Madden'],https://resizing.flixster.com/PzhM10J3hAEK-Gz9862etHpeq9o=/fit-in/180x240/v2/https://resizing.flixster.com/vKk0wzhbkL2FoAqRdiR4CwMWk5Y=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzVkNjQ3YjU5LTA3ODctNGUyZi1hZjg2LTgyMzg5ZjE4NTYwMy5qcGc=,Operation Mincemeat,2021,83%,"If its fact-based story proves more fascinatingly outlandish than it's presented here, Operation Mincemeat remains an engaging and well-acted wartime drama.","It's 1943. The Allies are determined to break Hitler's grip on occupied Europe, and plan an all-out assault on Sicily;... [More]","['Colin Firth', ' Matthew Macfadyen', ' Kelly Macdonald', ' Penelope Wilton']"
69,https://www.rottentomatoes.com/m/atonement,['Joe Wright'],https://resizing.flixster.com/xEcC3r0JZrdSNKBFcnlpxlDEfKQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p167496_p_v8_am.jpg,Atonement,2007,83%,"Atonement features strong performances, brilliant cinematography, and a unique score. Featuring deft performances from James MacAvoy and Keira Knightley, it's a successful adaptation of Ian McEwan's novel.","This sweeping English drama, based on the book by Ian McEwan, follows the lives of young lovers Cecilia Tallis (Keira... [More]","['James McAvoy', ' Keira Knightley', ' Romola Garai', ' Saoirse Ronan']"
70,https://www.rottentomatoes.com/m/casualties_of_war,['Brian De Palma'],https://resizing.flixster.com/UvVtRZh7NrYbGeTysTKuE9lMPDo=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11783_p_v8_al.jpg,Casualties of War,1989,84%,Casualties of War takes a harrowing plunge into the Vietnam War with a well-acted ensemble piece that ranks among director Brian De Palma's more mature efforts.,Pvt. Max Eriksson (Michael J. Fox) is stationed in Vietnam under Sgt. Tony Meserve (Sean Penn). Though Meserve saves Eriksson's... [More],"['Michael J. Fox', ' Sean Penn', ' Don Harvey', ' John C. Reilly']"
71,https://www.rottentomatoes.com/m/dirty_dozen,['Robert Aldrich'],https://resizing.flixster.com/G6i0rsFyPE5pX-d7mhprReIXf_Y=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4885_v_v7_ab.jpg,The Dirty Dozen,1967,81%,"Amoral on the surface and exuding testosterone, The Dirty Dozen utilizes combat and its staggering cast of likable scoundrels to deliver raucous entertainment.","As D-Day approaches, Colonel Breed hands the roguish Major Reisman (Lee Marvin) an important assignment: He must train a team... [More]","['Lee Marvin', ' Ernest Borgnine', ' Charles Bronson', ' Jim Brown']"
72,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,['Joe Johnston'],https://resizing.flixster.com/ljLrpTy3USzTTB6Q21Fztrpz3Uc=/fit-in/180x240/v2/https://resizing.flixster.com/DPxL1sG2snpcMbqGJc67YGTrjlM=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2JmZTdkNDA5LTA5NzktNGE3OC04ODE2LTJlOTBkYTA3MDY2NS5qcGc=,Captain America: The First Avenger,2011,80%,"With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",It is 1941 and the world is in the throes of war. Steve Rogers (Chris Evans) wants to do his... [More],"['Chris Evans', ' Hayley Atwell', ' Sebastian Stan', ' Tommy Lee Jones']"
73,https://www.rottentomatoes.com/m/1084146-thin_red_line,['Terrence Malick'],https://resizing.flixster.com/9GazhkvQ3qzdlk-qu6E8hzz6E_g=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22250_p_v12_aq.jpg,The Thin Red Line,1998,80%,The Thin Red Line is a daringly philosophical World War II film with an enormous cast of eager stars.,"In 1942, Private Witt (Jim Caviezel) is a U.S. Army absconder living peacefully with the locals of a small South... [More]","['Sean Penn', ' Adrien Brody', ' Jim Caviezel', ' Ben Chaplin']"
74,https://www.rottentomatoes.com/m/1084398-life_is_beautiful,['Roberto Benigni'],https://resizing.flixster.com/RYM7GEsUa8ryOSReM7m1W5yCrgc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22005_p_v8_aa.jpg,Life Is Beautiful,1997,81%,"Benigni's earnest charm, when not overstepping its bounds into the unnecessarily treacly, offers the possibility of hope in the face of unflinching horror.","A gentle Jewish-Italian waiter, Guido Orefice (Roberto Benigni), meets Dora (Nicoletta Braschi), a pretty schoolteacher, and wins her over with... [More]","['Roberto Benigni', ' Nicoletta Braschi', ' Giorgio Cantarini', ' Giustino Durano']"
75,https://www.rottentomatoes.com/m/devotion_2022,['J.D. Dillard'],https://resizing.flixster.com/OLzkh-sDAkdE4RCwEUOY4GLfjvc=/fit-in/180x240/v2/https://resizing.flixster.com/bewkINYSfH_9LYdcxDC2LNLEbQA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2I3NTc0OTI3LTgzNDQtNGE1MS1iMDMzLTk5OWQ2MjU0NmUzNC5qcGc=,Devotion,2022,80%,"Honoring real-life history while delivering impactful drama, Devotion is a straightforward biopic elevated by standout performances from a talented cast.","Devotion, an aerial war epic based on the bestselling book of the same name, tells the harrowing true story of... [More]","['Glen Powell', ' Jonathan Majors', ' Joe Jonas', ' Christina Jackson']"
